idx: 0, loss: 39.21715446507348
idx: 1, loss: 27.2930345474921
idx: 2, loss: 24.86454656678163
idx: 3, loss: 23.823437464046922
idx: 4, loss: 22.16572213392359
idx: 5, loss: 21.394704181383464
idx: 6, loss: 21.2023464006256
idx: 7, loss: 21.00533424470725
idx: 8, loss: 20.813803209020755
idx: 9, loss: 20.74451838581239
idx: 10, loss: 20.737550681466722
idx: 11, loss: 20.73258295167386
idx: 12, loss: 20.718185846199383
idx: 13, loss: 20.70978140690766
idx: 14, loss: 20.708118328613942
idx: 15, loss: 20.70498234124668
idx: 16, loss: 20.701895761628222
idx: 17, loss: 20.70131787006897
idx: 18, loss: 20.698589933467225
idx: 19, loss: 20.69395050573682
idx: 20, loss: 20.690748695486743
idx: 21, loss: 20.690094836163105
idx: 22, loss: 20.690059576909203
idx: 23, loss: 20.68900476889356
idx: 24, loss: 20.688509980386932
idx: 25, loss: 20.688472861245877
idx: 26, loss: 20.688009038797635
idx: 27, loss: 20.687633866201214
idx: 28, loss: 20.68762480827967
idx: 29, loss: 20.687649871248347
idx: 30, loss: 20.687605778113454
idx: 31, loss: 20.687374111057093
idx: 32, loss: 20.68692327616909
idx: 33, loss: 20.68682944046492
idx: 34, loss: 20.686862573018015
idx: 35, loss: 20.68684612358116
idx: 36, loss: 20.686818306766753
idx: 37, loss: 20.68681295502156
idx: 38, loss: 20.686815228311495
idx: 39, loss: 20.68681384663984
idx: 40, loss: 20.68681117283444
idx: 41, loss: 20.686809589702985
idx: 42, loss: 20.686808465505447
idx: 43, loss: 20.686807240248
idx: 44, loss: 20.6868060749534
idx: 45, loss: 20.686805073407477
idx: 46, loss: 20.686804141921915
idx: 47, loss: 20.686803207559386
idx: 48, loss: 20.68680226660814
idx: 49, loss: 20.686801330112438
ADMM best 20.686801330112438
ECOS best 20.68674564359163
