,M,N,K,S,rho,gamma,CLARABEL_fail,CLARABEL_time,CLARABEL_pstar,CLARABEL_pstop,CLARABEL_pfinal,ADMM_PROX_POOL_fail,ADMM_PROX_POOL_time,ADMM_PROX_POOL_pstar,ADMM_PROX_POOL_pstop,ADMM_PROX_POOL_pfinal
0,80,60,1.0,1.0,1.0,1.0,0,0.012254953384399414,8.327657467154673,,,0,3.041485548019409,8.32804734714235,,8.32804734714235
1,250,100,1.0,1.0,1.0,1.0,0,0.03378796577453613,26.635347345599534,,,0,6.858197927474976,26.637755904245246,,26.637755904245246
